username,tweet,id,date,class
joeyabanks,Excited to try out Big Sur tomorrow. https://t.co/1viBNsqDeZ,1326960807972905000,1605214928536,positive
RirryVLNY,yo bebas kalo fetishmu arek mlarat tapi gausah ngeroso dadi arek seng paling gak matrek,1326932945660080000,1605215932898,positive
mathdroid,Good old fun is always good 🥰,1326916129546236000,1605216126132,positive
TOGERD,"Gak jadi anggep Twitter story annoying, karena bisa kepoin keseharian crush yang biasa gak main Instagram... 😌",1326903000481341400,1605216330429,positive
closetowhy,"sma w disebut pertama, seneng bgt termasuk cewe cantik di malang 🥺❤️ https://t.co/ATKoYK3Wuz",1327508484296831000,1605343967594,positive
agannyi,"Momomaru Corndog, available in 3 toppings. Japanese curry, mentai katsuoboshi dan honey mustard drizzle. PO segera dibuka di Tokopedia untuk pengiriman hari Senin 🤓👍🏻 https://t.co/91e6fJzHA3",1327149826820235300,1605344862332,positive
ombotaakk,"Akuuuu mau cobaaaa ini, di kemang nanti ada kan ya? 😁 https://t.co/iDF6H7CllY",1327164952528920600,1605344914136,positive
PapersBoy,Sudah lolos QC gw sebagai tester pertama👌 https://t.co/HVyhhZ8Yn1,1327154212820676600,1605344930111,positive
KuntoAjiW,"1 tahun Pilu Membiru Experience. Ruang khusus menilik duka, agar yang selesai benar selesai. Yang mengikat tidak dibawa jauh. Sekali lagi terima kasih kepercayaannya. https://t.co/lqsr9uXkKC",1327133455013081000,1605345199106,positive
KuntoAjiW,"Wuih, congrats @Laze92_ https://t.co/BTDUj13l8C",1327131332628144000,1605345248704,positive
xgoldluckx,"semoga mimpimu, satu satu jadi nyata",1327050213102502000,1605345400881,positive
F2aldi,@yrsweetbunsya cakep warna rambutnyaa..,1328253510618546200,1605515809335,positive
catsedih,"pas ke bandung beberapa minggu lalu lupa bawa poni-ponian padahal poni-ponian buat akuu cukup penting dan baru inget pas udah di travel, teruss dibeliin pas udh di bandung hehehee :3 https://t.co/n59rrchl4q",1329420908738461700,1605795516480,positive
